trading_date,factor_group,mean,count
2025-02-06,G2,0.028723262142840156,1019
2025-02-06,G3,0.026140736922553427,1017
2025-02-06,G4,0.02235263915381772,1019
2025-02-06,G5,0.03465792428498527,1019
2025-02-07,G1,0.01718596416684206,1020
2025-02-07,G2,0.01798298552118951,1019
2025-02-07,G3,0.01803037179281084,1018
2025-02-07,G4,0.014377570581786486,1019
2025-02-07,G5,0.024176286879454844,1020
2025-02-10,G1,0.008828732506577834,1020
2025-02-10,G2,0.008606773618548098,1019
2025-02-10,G3,0.008540750555468863,1020
2025-02-10,G4,0.010029939438632148,1019
2025-02-10,G5,0.025919334820284166,1020
2025-02-11,G1,-0.011017752241220938,1020
2025-02-11,G2,-0.01202887319237416,1019
2025-02-11,G3,-0.010892502257942843,1019
2025-02-11,G4,-0.00822332742624893,1019
2025-02-11,G5,0.0028658324244736845,1020
2025-02-12,G1,-0.003716725190993753,1020
2025-02-12,G2,-0.002653587103207286,1019
2025-02-12,G3,-0.0031008707275906404,1019
2025-02-12,G4,0.0027122915000904074,1019
2025-02-12,G5,0.022225111996866154,1020
2025-02-13,G1,0.010036379660012093,1020
2025-02-13,G2,0.014330927484802006,1019
2025-02-13,G3,0.01710006147668719,1020
2025-02-13,G4,0.02434205200624833,1019
2025-02-13,G5,0.045902341826672924,1020
2025-02-14,G1,0.011986951120876305,1020
2025-02-14,G2,0.017283428110008468,1019
2025-02-14,G3,0.023926849821753523,1019
2025-02-14,G4,0.03918199340000547,1019
2025-02-14,G5,0.05114675252707764,1019
2025-02-17,G1,0.006446983168430865,1021
2025-02-17,G2,0.013937028564239742,1020
2025-02-17,G3,0.01724871967927863,1020
2025-02-17,G4,0.029929516647317377,1020
2025-02-17,G5,0.030317772795951808,1019
2025-02-18,G1,0.02674975856081132,1020
2025-02-18,G2,0.030342776023844085,1020
2025-02-18,G3,0.03758119862914802,1020
2025-02-18,G4,0.04829508262523108,1020
2025-02-18,G5,0.056779969050323544,1019
2025-02-19,G1,0.025360580702242338,1020
2025-02-19,G2,0.02565714228033446,1020
2025-02-19,G3,0.033157856193421445,1020
2025-02-19,G4,0.04243563368678194,1020
2025-02-19,G5,0.035244900540089975,1019
2025-02-20,G1,0.01902801361977474,1020
2025-02-20,G2,0.019718539798151226,1020
2025-02-20,G3,0.02224708602301681,1020
2025-02-20,G4,0.028526045669066802,1020
2025-02-20,G5,0.018733757681878516,1019
2025-02-21,G1,0.00032027144901514636,1021
2025-02-21,G2,-0.0107225531202903,1020
2025-02-21,G3,-0.015900626948543013,1020
2025-02-21,G4,-0.02062870162498449,1020
2025-02-21,G5,-0.0457985654353135,1020
2025-02-24,G1,-0.0038302552244340333,1020
2025-02-24,G2,-0.012726565305395258,1020
2025-02-24,G3,-0.015576746413843592,1019
2025-02-24,G4,-0.020839016289002865,1020
2025-02-24,G5,-0.03587566436482049,1020
2025-02-25,G1,0.009470349643004543,1020
2025-02-25,G2,0.0016406135604185618,1019
2025-02-25,G3,0.00047140052633514004,1019
2025-02-25,G4,-0.004303563943538564,1019
2025-02-25,G5,-0.01727594962634341,1020
2025-02-26,G1,-0.006793230792596759,1020
2025-02-26,G2,-0.011673787116023921,1020
2025-02-26,G3,-0.012394588686238484,1019
2025-02-26,G4,-0.01447220271212524,1020
2025-02-26,G5,-0.023443220850955702,1020
2025-02-27,G1,0.0002761057676375952,1020
2025-02-27,G2,0.00332729952337033,1019
2025-02-27,G3,0.004675806182481607,1019
2025-02-27,G4,0.005534097907315137,1019
2025-02-27,G5,0.00828968590139766,1020
2025-02-28,G1,0.01800301864474179,1020
2025-02-28,G2,0.027895574171560886,1019
2025-02-28,G3,0.03302852316621443,1020
2025-02-28,G4,0.03652304165274903,1019
2025-02-28,G5,0.04704346599850963,1020
2025-03-03,G1,0.021943908936001774,1020
2025-03-03,G2,0.028949845343606694,1019
2025-03-03,G3,0.03531275436738959,1019
2025-03-03,G4,0.038491748413958464,1019
2025-03-03,G5,0.043965595906256816,1019
2025-03-04,G1,0.01829574684908046,1020
2025-03-04,G2,0.024224936806095977,1019
2025-03-04,G3,0.02490153349028545,1019
2025-03-04,G4,0.026750106834570447,1019
2025-03-04,G5,0.033578024306057414,1019
2025-03-05,G1,0.02773546638309742,1019
2025-03-05,G2,0.027535346259105066,1019
2025-03-05,G3,0.028753118146157434,1019
2025-03-05,G4,0.025802076693278334,1019
2025-03-05,G5,0.028273645751106538,1019
2025-03-06,G1,0.005609470794864767,1019
2025-03-06,G2,0.006367519721087349,1019
2025-03-06,G3,0.0009884832226713437,1018
2025-03-06,G4,-0.005273797028073358,1019
2025-03-06,G5,-0.011476021921286328,1019
2025-03-07,G1,0.03250971394366932,1020
2025-03-07,G2,0.027008436114880092,1019
2025-03-07,G3,0.021197104555893832,1019
2025-03-07,G4,0.013477063198026037,1019
2025-03-07,G5,0.007853503898075187,1019
2025-03-10,G1,0.03172563799188663,1019
2025-03-10,G2,0.024684755630176556,1019
2025-03-10,G3,0.021543771811441095,1019
